749	30	956	779	986	1705	1705	926	719	0	926	99999	99999	
733	135	825	868	960	1558	1558	690	598	0	690	598	99999	
939	32	472	971	504	1411	1411	440	907	0	99999	99999	99999	
772	37	448	809	485	1220	1220	411	735	0	99999	99999	99999	
885	106	213	991	319	1098	1098	107	779	0	99999	99999	99999	
458	104	638	562	742	1096	1096	534	354	0	534	354	99999	
646	285	432	931	717	1078	1078	147	361	0	99999	99999	99999	
399	136	613	535	749	1012	1012	477	263	0	99999	99999	99999	
671	315	208	986	523	879	986	0	463	107	99999	99999	99999	
542	33	416	575	449	958	958	383	509	0	99999	99999	99999	
203	692	83	895	775	286	895	0	120	609	99999	99999	99999	
550	343	102	893	445	652	893	0	448	241	99999	99999	99999	
473	297	53	770	350	526	770	0	420	244	99999	99999	99999	
421	72	235	493	307	656	656	163	349	0	99999	99999	99999	
373	178	125	551	303	498	551	0	248	53	99999	99999	99999	
352	133	174	485	307	526	526	41	219	0	99999	99999	99999	
208	316	164	524	480	372	524	0	44	152	99999	99999	99999	
216	159	300	375	459	516	516	141	57	0	99999	99999	99999	
298	217	108	515	325	406	515	0	190	109	99999	190	99999	
348	158	86	506	244	434	506	0	262	72	99999	262	99999	
						2						190	18284
