999	18	999	18	981					1	5						19750909
11	992	992	11	981					8	5						
15	996	996	15	981					64	61						
998	17	998	17	981					512	509						
16	997	997	16	981					4096	4093						
13	994	994	13	981					32768	24573						
992	12	992	12	980					262144	90109						
15	995	995	15	980					2097152	876541						
17	996	996	17	979					16777216	2973693						
996	17	996	17	979					134217728	19750909						
17	996	996	17	979					1073741824	19750909						
18	997	997	18	979					8589934592	19750909						
997	18	997	18	979					68719476736	19750909						
17	995	995	17	978												
988	10	988	10	978												
992	14	992	14	978												
988	12	988	12	976												
995	19	995	19	976												
988	12	988	12	976												
997	22	997	22	975												
10	984	984	10	974												
10	984	984	10	974												
996	22	996	22	974												
12	986	986	12	974												
19	993	993	19	974												
992	19	992	19	973												
985	12	985	12	973												
16	988	988	16	972												
11	983	983	11	972												
990	18	990	18	972												
984	12	984	12	972												
999	28	999	28	971												
993	22	993	22	971												
981	10	981	10	971												
18	989	989	18	971												
13	983	983	13	970												
988	19	988	19	969												
998	29	998	29	969												
986	17	986	17	969												
21	990	990	21	969												
979	11	979	11	968												
989	22	989	22	967												
27	994	994	27	967												
985	18	985	18	967												
997	30	997	30	967												
985	18	985	18	967												
984	18	984	18	966												
20	986	986	20	966												
13	978	978	13	965												
33	998	998	33	965												
13	978	978	13	965												
16	980	980	16	964												
17	980	980	17	963												
977	14	977	14	963												
12	975	975	12	963												
993	30	993	30	963												
18	981	981	18	963												
34	996	996	34	962												
990	28	990	28	962												
18	980	980	18	962												
28	989	989	28	961												
981	20	981	20	961												
18	979	979	18	961												
973	12	973	12	961												
21	981	981	21	960												
23	983	983	23	960												
22	982	982	22	960												
982	22	982	22	960												
974	14	974	14	960												
991	32	991	32	959												
971	12	971	12	959												
997	38	997	38	959												
971	12	971	12	959												
989	30	989	30	959												
982	24	982	24	958												
974	16	974	16	958												
998	41	998	41	957												
976	19	976	19	957												
36	993	993	36	957												
987	31	987	31	956												
984	28	984	28	956												
982	26	982	26	956												
988	32	988	32	956												
989	34	989	34	955												
993	38	993	38	955												
41	996	996	41	955												
10	965	965	10	955												
23	978	978	23	955												
26	980	980	26	954												
979	25	979	25	954												
993	39	993	39	954												
27	981	981	27	954												
968	14	968	14	954												
17	971	971	17	954												
991	38	991	38	953												
15	968	968	15	953												
22	975	975	22	953												
981	29	981	29	952												
999	47	999	47	952												
998	46	998	46	952												
11	963	963	11	952												
977	26	977	26	951												
15	966	966	15	951												
43	994	994	43	951												
970	19	970	19	951												
29	980	980	29	951												
974	23	974	23	951												
11	962	962	11	951												
967	16	967	16	951												
964	13	964	13	951												
40	991	991	40	951												
12	962	962	12	950												
972	22	972	22	950												
961	11	961	11	950												
48	998	998	48	950												
989	39	989	39	950												
981	31	981	31	950												
989	39	989	39	950												
999	49	999	49	950												
967	18	967	18	949												
969	20	969	20	949												
961	12	961	12	949												
11	960	960	11	949												
23	972	972	23	949												
976	27	976	27	949												
970	21	970	21	949												
996	47	996	47	949												
964	15	964	15	949												
28	976	976	28	948												
48	996	996	48	948												
991	43	991	43	948												
42	990	990	42	948												
20	967	967	20	947												
15	962	962	15	947												
996	49	996	49	947												
982	35	982	35	947												
966	20	966	20	946												
996	50	996	50	946												
957	11	957	11	946												
28	974	974	28	946												
51	997	997	51	946												
18	964	964	18	946												
16	961	961	16	945												
42	987	987	42	945												
968	23	968	23	945												
24	969	969	24	945												
11	956	956	11	945												
17	962	962	17	945												
10	955	955	10	945												
10	955	955	10	945												
32	976	976	32	944												
45	989	989	45	944												
38	982	982	38	944												
973	29	973	29	944												
26	970	970	26	944												
35	978	978	35	943												
55	998	998	55	943												
44	987	987	44	943												
12	955	955	12	943												
969	26	969	26	943												
975	32	975	32	943												
52	995	995	52	943												
976	33	976	33	943												
32	974	974	32	942												
24	966	966	24	942												
980	38	980	38	942												
17	959	959	17	942												
41	983	983	41	942												
961	19	961	19	942												
37	978	978	37	941												
958	17	958	17	941												
968	27	968	27	941												
990	49	990	49	941												
34	975	975	34	941												
35	976	976	35	941												
995	54	995	54	941												
982	42	982	42	940												
962	22	962	22	940												
45	985	985	45	940												
28	968	968	28	940												
42	981	981	42	939												
17	956	956	17	939												
997	58	997	58	939												
995	56	995	56	939												
55	994	994	55	939												
997	58	997	58	939												
974	35	974	35	939												
954	16	954	16	938												
44	982	982	44	938												
59	996	996	59	937												
21	958	958	21	937												
953	16	953	16	937												
20	957	957	20	937												
965	28	965	28	937												
965	28	965	28	937												
997	60	997	60	937												
51	988	988	51	937												
990	54	990	54	936												
48	984	984	48	936												
52	988	988	52	936												
986	50	986	50	936												
981	46	981	46	935												
18	953	953	18	935												
977	42	977	42	935												
997	63	997	63	934												
991	57	991	57	934												
978	44	978	44	934												
33	967	967	33	934												
963	29	963	29	934												
950	16	950	16	934												
971	37	971	37	934												
15	949	949	15	934												
996	62	996	62	934												
958	24	958	24	934												
50	984	984	50	934												
970	37	970	37	933												
970	37	970	37	933												
979	46	979	46	933												
991	58	991	58	933												
952	19	952	19	933												
947	14	947	14	933												
954	21	954	21	933												
19	952	952	19	933												
958	25	958	25	933												
56	989	989	56	933												
989	56	989	56	933												
984	51	984	51	933												
951	19	951	19	932												
24	956	956	24	932												
62	994	994	62	932												
961	29	961	29	932												
963	31	963	31	932												
960	28	960	28	932												
68	999	999	68	931												
959	28	959	28	931												
949	18	949	18	931												
50	981	981	50	931												
65	996	996	65	931												
993	62	993	62	931												
68	999	999	68	931												
978	47	978	47	931												
992	61	992	61	931												
961	30	961	30	931												
39	970	970	39	931												
13	944	944	13	931												
950	19	950	19	931												
981	50	981	50	931												
54	985	985	54	931												
973	43	973	43	930												
21	951	951	21	930												
43	973	973	43	930												
981	51	981	51	930												
18	948	948	18	930												
42	972	972	42	930												
53	983	983	53	930												
984	54	984	54	930												
983	53	983	53	930												
19	949	949	19	930												
957	27	957	27	930												
12	942	942	12	930												
60	990	990	60	930												
41	970	970	41	929												
998	69	998	69	929												
955	26	955	26	929												
944	15	944	15	929												
982	53	982	53	929												
45	974	974	45	929												
66	995	995	66	929												
966	37	966	37	929												
998	70	998	70	928												
68	996	996	68	928												
954	26	954	26	928												
68	996	996	68	928												
950	22	950	22	928												
67	995	995	67	928												
34	961	961	34	927												
37	964	964	37	927												
990	63	990	63	927												
42	969	969	42	927												
939	12	939	12	927												
958	31	958	31	927												
984	57	984	57	927												
31	958	958	31	927												
42	969	969	42	927												
996	70	996	70	926												
973	47	973	47	926												
50	976	976	50	926												
983	57	983	57	926												
51	977	977	51	926												
978	52	978	52	926												
973	47	973	47	926												
987	62	987	62	925												
23	948	948	23	925												
961	36	961	36	925												
32	957	957	32	925												
967	42	967	42	925												
941	16	941	16	925												
74	999	999	74	925												
45	970	970	45	925												
952	27	952	27	925												
995	71	995	71	924												
955	31	955	31	924												
993	69	993	69	924												
987	63	987	63	924												
20	944	944	20	924												
939	15	939	15	924												
992	68	992	68	924												
