880	846	880	846	34					1	0				14472
751	842	842	751	91					8	0				
472	314	472	314	158					64	8				
658	476	658	476	182					512	136				
80	326	326	80	246					4096	2184				
645	365	645	365	280					32768	14472				
532	233	532	233	299					262144	14472				
540	845	845	540	305					2097152	14472				
798	474	798	474	324					16777216	14472				
273	611	611	273	338					134217728	14472				
448	815	815	448	367					1073741824	14472				
586	153	586	153	433					8589934592	14472				
363	819	819	363	456					68719476736	14472				
270	736	736	270	466					5,49756E+11	14472				
323	798	798	323	475					4,39805E+12	14472				
669	159	669	159	510					3,51844E+13	14472				
244	804	804	244	560					2,81475E+14	14472				
195	796	796	195	601					2,2518E+15	14472				
161	919	919	161	758					1,80144E+16	14472				
54	955	955	54	901					1,44115E+17	14472				
